Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel injection
Acura NSX,57,3.5,6,9,Manual,21,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
ALFA ROMEO 4C,410,1.8,4,6,Manual,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Audi R8 AWD,65,5.2,10,7,Manual,17,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi R8 RWD,71,5.2,10,7,Manual,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Audi R8 Spyder AWD,66,5.2,10,7,Manual,17,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi R8 Spyder RWD,72,5.2,10,7,Manual,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Audi TT Roadster quattro,46,2,4,6,Manual,26,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
BMW M4 DTM Champions Edition,488,3,6,7,Manual,20,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
Bugatti Chiron,38,8,16,7,Manual,11,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Chevrolet CORVETTE,278,6.2,8,8,Automatic,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CORVETTE,223,6.2,8,8,Automatic,16,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CORVETTE,285,6.2,8,7,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CORVETTE,276,6.2,8,7,Manual,19,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
