case_identifier,turnout16_2016,RIGGED_SYSTEM_1_2016,RIGGED_SYSTEM_2_2016,RIGGED_SYSTEM_3_2016,RIGGED_SYSTEM_4_2016,RIGGED_SYSTEM_5_2016,RIGGED_SYSTEM_6_2016,track_2016,persfinretro_2016,econtrend_2016,Americatrend_2016,futuretrend_2016,wealth_2016,values_culture_2016,US_respect_2016,trustgovt_2016,trust_people_2016,helpful_people_2016,fair_people_2016,imiss_a_2016,imiss_b_2016,imiss_c_2016,imiss_d_2016,imiss_e_2016,imiss_f_2016,imiss_g_2016,imiss_h_2016,imiss_i_2016,imiss_j_2016,imiss_k_2016,imiss_l_2016,imiss_m_2016,imiss_n_2016,imiss_o_2016,imiss_p_2016,imiss_q_2016,imiss_r_2016,imiss_s_2016,imiss_t_2016,imiss_u_2016,imiss_x_2016,imiss_y_2016
779,Voted,3,4,1,4,3,2,2,2,1,1,4,2,2,2,3,8,1,8,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1
2108,Voted,2,1,3,1,3,2,2,3,3,1,1,1,3,3,3,2,1,2,1,1,2,2,1,1,4,2,2,1,2,4,2,2,1,1,1,1,2,1,2,3,4
2597,Voted,2,4,1,4,1,1,1,3,3,1,1,2,3,1,3,1,2,1,1,1,2,1,3,1,3,2,4,1,1,1,1,1,1,2,1,1,1,3,2,1,2
4148,Voted,1,4,1,4,2,1,1,1,1,3,3,2,3,1,3,1,1,1,1,2,3,1,1,2,3,2,4,1,1,2,2,1,1,3,2,2,2,3,2,2,3
4460,Voted,3,1,3,1,3,2,2,2,2,3,4,1,3,2,3,1,1,1,1,1,1,1,1,1,3,1,2,1,2,4,1,1,1,1,2,1,2,1,1,1,1
5225,Voted,3,3,2,2,2,3,2,2,2,1,3,2,2,2,2,2,1,2,2,1,2,1,3,2,1,1,1,1,1,1,1,1,2,3,1,2,1,1,3,1,1
5903,Voted,3,4,1,1,2,1,1,2,1,2,1,2,3,2,3,2,2,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1
6059,Voted,2,3,3,2,1,2,2,3,3,3,3,1,3,3,3,1,2,1,1,2,1,2,2,3,4,2,3,1,4,3,1,2,2,1,4,2,1,4,1,4,3
8048,Voted,4,4,1,3,3,1,2,2,1,2,1,2,1,3,3,2,1,2,3,1,4,1,1,2,2,1,2,1,2,1,1,2,2,4,2,4,1,1,4,1,2
13112,Voted,2,3,1,2,2,2,2,1,1,1,1,2,3,3,3,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
14087,Voted,3,2,1,4,2,1,1,2,1,3,3,2,3,3,3,2,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1
14474,Voted,3,2,4,1,2,1,2,3,3,3,1,1,2,3,3,1,1,1,1,1,1,3,2,1,4,2,2,1,3,4,2,2,2,1,3,1,3,3,2,2,3
14507,Voted,4,3,1,3,3,1,2,2,2,2,1,2,1,3,3,2,1,2,2,2,2,2,4,2,1,1,1,1,1,2,1,2,2,2,1,3,1,1,4,1,1
15464,Voted,4,2,1,4,3,2,3,2,1,1,4,2,1,2,2,8,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,3,1,2,1,3,3,1,1
20459,Voted,3,4,1,2,2,1,2,2,4,1,3,2,3,3,3,8,8,8,2,1,3,1,4,3,1,1,2,1,1,1,1,1,2,2,2,2,1,1,3,1,1
25193,Voted,3,3,1,2,3,1,2,2,3,3,4,2,8,3,3,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,3,2,2,1,1,3,2,2
27599,Voted,2,2,3,1,2,2,2,2,2,1,3,1,3,3,3,2,1,1,2,1,1,3,1,2,4,3,3,2,1,3,1,1,1,1,3,1,3,3,1,3,2
2035940,Voted,4,3,1,3,1,2,2,2,2,3,4,2,3,3,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,1,1,1,3,1,3,1,3,3,2,2
6000794,Voted,3,3,2,1,1,1,2,2,2,4,1,2,3,3,3,2,2,2,1,1,1,2,1,1,3,1,3,1,4,3,3,3,1,2,3,1,3,3,1,3,4
6001082,Voted,3,2,2,3,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,3,2,2,1,2,3,3,1,2,1,1,2,2,2,1,2,1,3,3,2,1
6002069,Voted,2,3,2,1,2,1,2,2,2,3,3,2,3,3,3,2,1,2,2,1,1,4,2,2,4,2,3,1,1,4,1,1,1,2,1,2,1,3,2,3,3
6004538,Voted,3,1,2,3,2,4,2,1,2,1,1,1,3,3,3,2,2,2,3,2,4,1,3,3,2,2,4,3,2,1,4,2,2,3,3,4,4,4,3,3,4
6006515,Voted,4,1,2,1,2,1,2,3,3,3,3,1,3,3,3,1,2,1,1,1,1,2,1,2,3,2,2,1,2,4,2,2,1,1,3,1,1,4,1,3,3
6008999,Voted,3,2,4,1,2,3,2,3,3,2,3,1,3,3,3,1,1,1,2,1,1,3,2,2,2,3,4,3,4,4,2,2,2,1,3,2,3,2,1,4,4
6009677,Voted,3,2,2,2,3,2,2,1,2,1,1,1,3,3,3,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6010778,Voted,2,3,1,3,1,1,3,2,1,1,3,2,3,1,3,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
6013199,Voted,3,2,4,1,3,2,2,2,3,3,1,1,3,3,3,2,1,2,1,1,1,3,1,1,4,2,4,2,3,4,1,2,1,1,3,1,1,1,1,3,4
6014066,Voted,3,2,2,2,2,2,2,2,2,3,3,2,3,3,2,1,2,1,2,1,2,1,2,2,3,2,3,1,2,1,1,2,1,2,2,1,1,2,3,2,2
6015176,Voted,2,3,2,1,2,2,2,2,3,3,3,8,3,3,3,1,2,1,1,1,1,2,1,1,3,1,3,1,1,4,1,1,1,1,1,1,1,1,1,2,3
6020087,Voted,3,2,3,3,3,2,2,3,3,3,3,2,3,3,3,1,1,2,1,1,1,2,2,1,3,2,2,1,2,2,1,3,2,1,2,2,1,2,2,1,2
6021503,Voted,3,2,2,2,4,1,1,1,1,3,4,1,3,3,3,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1
6022898,Voted,3,2,3,1,3,2,2,2,3,2,4,1,3,3,3,1,2,1,1,1,1,3,1,1,2,2,2,1,2,4,1,2,1,1,2,1,2,2,1,2,2
6023987,Voted,3,2,2,1,2,2,2,2,1,3,3,1,3,3,3,1,2,1,1,1,1,2,1,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2
6024683,Voted,3,2,3,1,3,2,2,3,2,3,3,1,3,3,3,8,1,8,2,1,1,2,1,1,3,3,3,1,2,3,2,2,1,1,3,2,2,2,1,3,4
6026195,Voted,4,4,1,2,3,4,2,2,1,1,4,2,1,3,3,2,1,2,3,2,2,1,4,3,1,1,1,1,1,1,1,1,2,3,1,2,1,1,3,1,1
6026246,Voted,2,3,2,2,2,2,2,2,2,1,4,2,3,3,3,1,1,8,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2
6026537,Voted,3,2,2,2,3,2,1,3,2,3,1,1,2,1,3,2,1,8,2,2,2,3,3,2,4,2,3,2,2,4,2,2,2,2,2,2,2,3,1,3,3
6028715,Voted,2,2,3,2,2,2,2,2,2,2,2,1,3,3,3,1,2,1,2,1,1,2,1,1,3,2,2,2,1,4,1,2,2,1,2,1,1,2,1,2,2
6032768,Voted,3,2,2,1,3,2,2,2,3,3,2,1,3,3,3,1,2,1,1,1,1,3,1,1,4,2,2,1,2,3,1,2,1,1,2,1,1,1,1,4,4
6033338,Voted,3,2,1,1,2,1,2,3,3,3,3,2,3,3,3,1,1,8,2,1,4,4,2,4,4,4,4,3,2,4,4,3,1,1,3,1,2,4,1,4,4
6035645,Voted,3,1,2,1,3,2,2,2,2,2,2,8,2,2,3,1,2,1,1,1,1,1,1,1,4,1,1,1,1,3,1,2,1,1,1,3,2,1,3,2,3
